Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Zipcode,Poverty Rate,Unemployment Rate
ZCTA5 00707,17489.0,11240.0,43.5,8761.0,5945.0,735.0,00707,52.8914590747331,6.539145907473309
ZCTA5 00714,15820.0,18363.0,38.8,7685.0,10346.0,699.0,00714,56.34155639056799,3.806567554321189
ZCTA5 00715,12440.0,3645.0,41.3,7579.0,2439.0,253.0,00715,66.91358024691358,6.941015089163237
ZCTA5 00716,18514.0,29191.0,42.2,13034.0,14157.0,1371.0,00716,48.49782467198794,4.696653078003494
ZCTA5 00717,11269.0,17285.0,36.9,9711.0,10048.0,968.0,00717,58.131327740815735,5.600231414521261
ZCTA5 00718,18998.0,26073.0,36.9,10107.0,12777.0,893.0,00718,49.00471752387527,3.4249990411536837
ZCTA5 00719,18401.0,29684.0,39.0,9006.0,13849.0,2403.0,00719,46.654763508961054,8.09527017922113
ZCTA5 00720,14533.0,21753.0,37.5,7326.0,12103.0,2117.0,00720,55.63830276283731,9.73199098974854
ZCTA5 00723,14554.0,17826.0,43.3,8723.0,10182.0,1004.0,00723,57.11881521373275,5.632222596207787
ZCTA5 00725,20374.0,82822.0,40.4,12575.0,34629.0,5766.0,00725,41.811354471034264,6.9619183308782695
ZCTA5 00727,30797.0,56023.0,38.8,15666.0,17736.0,2931.0,00727,31.658426003605662,5.23177980472306
ZCTA5 00728,18097.0,40326.0,37.7,9181.0,18782.0,1884.0,00728,46.57541040519764,4.671923820859991
ZCTA5 00729,20508.0,52244.0,38.9,11066.0,21939.0,4959.0,00729,41.99333894801317,9.491999081234209
ZCTA5 00730,15367.0,32735.0,41.3,10834.0,17834.0,1681.0,00730,54.479914464640295,5.135176416679395
ZCTA5 00731,16389.0,13862.0,39.8,9432.0,7621.0,448.0,00731,54.97763670466022,3.2318568749098255
ZCTA5 00735,18947.0,12749.0,40.7,11580.0,5579.0,472.0,00735,43.76029492509216,3.7022511569534866
ZCTA5 00736,20166.0,48476.0,41.3,12391.0,21635.0,2165.0,00736,44.630332535687764,4.466127568281212
ZCTA5 00738,19284.0,31558.0,40.7,11081.0,13443.0,3663.0,00738,42.597756511819505,11.607199442296723
ZCTA5 00739,20619.0,37380.0,38.5,11107.0,15775.0,2234.0,00739,42.20171214553237,5.976457998929909
ZCTA5 00740,12934.0,1517.0,36.5,7125.0,928.0,356.0,00740,61.17336849044166,23.467369808833222
ZCTA5 00741,22766.0,5168.0,41.0,9385.0,2178.0,446.0,00741,42.143962848297214,8.630030959752322
ZCTA5 00745,22909.0,52624.0,40.1,10927.0,19531.0,5119.0,00745,37.114244451200975,9.727500760109455
ZCTA5 00751,16188.0,22174.0,39.5,8951.0,11879.0,583.0,00751,53.57175069901687,2.6292053756651934
ZCTA5 00754,18594.0,38636.0,40.1,10482.0,17606.0,1493.0,00754,45.56889947199503,3.8642716637333057
ZCTA5 00757,16816.0,22475.0,37.2,10478.0,11045.0,788.0,00757,49.143492769744164,3.506117908787542
ZCTA5 00765,16149.0,8721.0,41.3,11211.0,3226.0,421.0,00765,36.99117073730077,4.827428047242289
ZCTA5 00766,19595.0,23931.0,37.8,10406.0,11955.0,2293.0,00766,49.95612385608625,9.581714094688897
ZCTA5 00767,15573.0,35042.0,41.6,8668.0,18314.0,2685.0,00767,52.26299868728954,7.662233890759659
ZCTA5 00769,19215.0,39605.0,39.4,10328.0,19083.0,1027.0,00769,48.18331018810756,2.5931069309430628
ZCTA5 00771,20332.0,37705.0,38.0,10254.0,17258.0,2697.0,00771,45.77111788887415,7.152897493701101
ZCTA5 00772,15032.0,20784.0,37.2,7516.0,12014.0,2386.0,00772,57.804080061585836,11.479984603541185
ZCTA5 00773,19377.0,18952.0,39.8,10434.0,8649.0,2121.0,00773,45.636344449134654,11.191430983537357
ZCTA5 00775,23092.0,1480.0,39.1,11291.0,615.0,11.0,00775,41.554054054054056,0.7432432432432432
ZCTA5 00777,18684.0,40611.0,37.7,9220.0,20541.0,4246.0,00777,50.57989214744774,10.455295363325208
ZCTA5 00778,32708.0,46852.0,38.3,16622.0,14361.0,3022.0,00778,30.65183983607957,6.450098181507727
ZCTA5 00780,21834.0,11679.0,38.0,14409.0,4591.0,536.0,00780,39.30987242058396,4.589434026885863
ZCTA5 00782,13073.0,18196.0,37.7,6996.0,10576.0,1513.0,00782,58.12266432182897,8.315014288854693
ZCTA5 00783,14476.0,34240.0,37.9,7823.0,19045.0,3253.0,00783,55.62207943925234,9.500584112149532
ZCTA5 00784,15653.0,41417.0,37.6,9317.0,21515.0,791.0,00784,51.94726803003598,1.909843783953449
ZCTA5 00786,-666666666.0,249.0,65.8,13990.0,51.0,0.0,00786,20.481927710843372,0.0
