Zipcode,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Poverty Rate,Unemployment Rate,Lat,Lng
00688,ZCTA5 00688,15918.0,12360.0,40.7,8636.0,6151.0,454.0,49.76537216828479,3.6731391585760518,18.3704881,-66.66974429999999
00690,ZCTA5 00690,18491.0,5587.0,41.9,10644.0,2752.0,452.0,49.257204224091645,8.090209414712726,18.512177,-67.0866619
00692,ZCTA5 00692,18076.0,36218.0,37.6,10586.0,17824.0,2498.0,49.213098459329615,6.897122977524988,18.4017996,-66.3438275
00693,ZCTA5 00693,18971.0,56327.0,40.0,10209.0,24547.0,2918.0,43.57945567844906,5.180464075842846,18.4207207,-66.40334229999999
00694,ZCTA5 00694,14375.0,88.0,73.1,7647.0,42.0,0.0,47.72727272727273,0.0,18.4874843,-66.4045597
00698,ZCTA5 00698,14487.0,37493.0,42.0,8139.0,18728.0,2847.0,49.950657456058465,7.593417437921746,18.0655998,-66.84393240000001
00703,ZCTA5 00703,16532.0,27137.0,40.2,10235.0,13350.0,1987.0,49.19482625198069,7.322106349264842,18.2646735,-66.17201519999999
00704,ZCTA5 00704,13960.0,7842.0,36.0,7585.0,4461.0,272.0,56.885998469778116,3.4685029329252743,17.9599917,-66.2314272
00705,ZCTA5 00705,18207.0,23831.0,40.6,10172.0,11827.0,416.0,49.62863497125593,1.7456254458478453,18.135403,-66.2605176
00707,ZCTA5 00707,17489.0,11240.0,43.5,8761.0,5945.0,735.0,52.8914590747331,6.539145907473309,18.0126754,-65.9155215
00714,ZCTA5 00714,15820.0,18363.0,38.8,7685.0,10346.0,699.0,56.34155639056799,3.806567554321189,17.9870515,-66.058249
00715,ZCTA5 00715,12440.0,3645.0,41.3,7579.0,2439.0,253.0,66.91358024691358,6.941015089163237,18.004076,-66.5342963
00716,ZCTA5 00716,18514.0,29191.0,42.2,13034.0,14157.0,1371.0,48.49782467198794,4.696653078003494,18.0061035,-66.5929503
